id,titre,type,stade,population,budget,porteur,territoire,resume,contexte,contrainte,enjeux,url_boussole
1,Contournement routier de Saint-Pierre-les-Bois,Infrastructure routière,Études,3 200 hab.,12-18 M€,Commune,Rural,"La commune étudie une déviation de la RD28 pour désengorger son centre-bourg historique traversé par 4 500 véhicules/jour dont 18 % de poids lourds. Trois options : réaménagement in situ, contournement Est (zone humide) ou Ouest (lisière forestière).","3 accidents corporels/an. Zone Natura 2000 adjacente (tourbière 25 ha, ZNIEFF type I, écrevisse à pattes blanches). Objectifs : sécurité piétons, préservation patrimoine XVe, réduction bruit -8 dB.",Zone Natura 2000 et patrimoine historique classé. Étude d'impact obligatoire (18 mois).,Biodiversité|Pollution|Adaptation,https://boussole-te.beta.gouv.fr
2,Centre aquatique intercommunal Aqua-Vallée,Équipement sportif,Conception,68 000 hab.,18-22 M€,Communauté d'Agglomération,Périurbain,"La CA Coteaux-de-l'Aussonne construit un centre aquatique pour remplacer une piscine municipale vétuste de 1975, devenue non conforme accessibilité. L'équipement comprend un bassin sportif 25 m, un bassin ludique, un espace bien-être et des terrasses extérieures. Implanté en zone inondable (surélévation +1,2 m requise).","Piscine actuelle en déficit 310 k€/an, fermée aux groupes scolaires faute de vestiaires conformes. 78 000 entrées/an, objectif 130 000. Zone inondable PPRi cote 181. 20 agents (vs 13 actuels).","Zone inondable PPRi : fondations spéciales et surélévation +1,2 m obligatoires (+1,4 M€ estimés).",Eau|Énergie|Adaptation,https://boussole-te.beta.gouv.fr
3,Écoquartier Les Jardins Partagés,Urbanisme / Logement,Études,114 000 hab. + 320 nouveaux,22 M€,Commune + SPL,Périurbain,"Création d'un écoquartier de 160 logements (60 maisons individuelles, 70 groupées, 30 collectifs R+2) sur 9 ha communaux en extension de bourg. Chaufferie bois collective, récupération eaux pluviales, piste cyclable continue vers le centre-ville à 2,5 km.",Pression foncière +12 %/an. Terrain bocager avec 2 exploitants à accompagner vers cessation. Desserte bus 4 A/R/jour insuffisante. Risque d'étalement urbain sans politique de mobilité ambitieuse.,Compensation agricole obligatoire (6 ha à renaturer). Accessibilité TC insuffisante si fréquence bus non renforcée.,Énergie|Eau|Biodiversité|Mobilité,https://boussole-te.beta.gouv.fr
4,Plateforme de compostage Plateau-Vert,Déchets / Économie circulaire,Instruction,42 000 hab. (35 communes),"3,8 M€",Syndicat mixte,Péri-industriel,"Le syndicat mixte crée une plateforme pour traiter 6 800 T/an de biodéchets (obligation 2024). Procédé : réception sur aire étanche, compostage en 12 andains retournés, maturation et criblage. Le compost est vendu aux agriculteurs locaux. Bilan : 6 emplois, recettes 297 k€/an.","Pétition de 340 riverains, soutien chambre d'agriculture et 28 communes. Ancienne pollution hydrocarbures sur 0,8 ha. Zone inondable décennale. Economies de collecte estimées à 180 k€/an.",Vents dominants vers l'habitat le plus proche (320 m). Zone inondable : bassin de rétention des lixiviats requis.,Économie circulaire|Pollution|Eau,https://boussole-te.beta.gouv.fr
5,Pôle d'échanges multimodal de Montclair-Confluent,Transport / Mobilité,Conception,22 000 hab.,"4,5 M€",Ville,Urbain,"Construction d'un pôle d'échanges multimodal sur une friche de 2 800 m² en centre-ville : 8 quais couverts, bâtiment voyageurs 400 m², 180 places vélos sécurisées, 85 places dépose-minute. Objectif : réduire la part modale voiture de 78 % à 65 % d'ici 2030.",Friche commerciale 2 800 m². Abattage 6 platanes centenaires compensé par 24 replantations. Déficit net d'exploitation 165 k€/an absorbé par économies sur la voirie.,Imperméabilisation compensée par noues et toiture végétalisée. Abattage platanes soumis à autorisation préfectorale.,Atténuation|Biodiversité|Pollution,https://boussole-te.beta.gouv.fr
6,Forêt urbaine Bois-des-Vents,Nature en ville,Conception,280 000 hab.,"5,5 M€",Métropole Puy-Volcans,Urbain,"Plantation de 8 000 arbres haute tige et 7 000 arbustes sur 60 ha de friches industrielles, délaissés autoroutiers et espaces verts existants pour lutter contre les îlots de chaleur et séquestrer 2 500 T CO2/an. 70 % d'essences locales, 30 % résistantes à la sécheresse.",40 % des sites pollués aux hydrocarbures (dépollution 1 850 k€). Sols compactés. Taux de survie espéré 75 % à 10 ans. Entretien 280 k€/an pendant 20 ans. Partenariat ONF et lycées agricoles.,Mortalité élevée projetée si sécheresses répétées. Dépollution conditionne l'accès à 24 ha.,Biodiversité|Adaptation|Atténuation|Pollution,https://boussole-te.beta.gouv.fr
7,Maison de santé Coeur-de-Vallée,Santé / Services publics,Travaux,8 500 hab. + 12 000 saisonniers,"3,2 M€",EPCI des Monts-du-Sud,Rural,"Maison de santé pluridisciplinaire dans un presbytère rénové (500 m²) + extension neuve (220 m²). 3 médecins généralistes, 2 infirmières, kinésithérapeute, psychologue, pharmacie intégrée. Navette médicale mensuelle pour hameaux isolés et téléconsultations spécialisées.","Désertification médicale : 2 médecins âgés de 62 ans, pharmacie en cessation, urgences à 48 min. Financement sécurisé : Région 40 %, ARS 30 %, Département 20 %, EPCI 10 %.",Risque de désistement des professionnels recrutés. Bâtiment historique en ZPPAUP : travaux soumis à avis ABF.,Adaptation|Atténuation|Eau,https://boussole-te.beta.gouv.fr
8,Bassin de rétention Lac des Saules,Gestion des risques,Études,18 000 hab.,"2,8 M€",Commune de Soleilhac,Urbain,"Bassin de rétention multifonctionnel (80 000 m3, 12 ha) protégeant 1 200 logements des crues rapides méditerranéennes, avec création d'un lac récréatif. Digue 4 m, promenade 2,5 km, zone humide 4 ha. Le bassin est à sec 9 mois sur 12 hors épisodes pluvieux intenses.","3 crues majeures en 10 ans, urbanisation du bassin versant +22 %. Maintien du plan d'eau par pompage (55 000 m3/an) contesté par agriculteurs. Opposition association naturaliste (prairie à orchidées 6 ha menacée).",Conflit d'usage protection/loisirs : maintien du niveau d'eau impose un pompage en nappe contesté.,Eau|Biodiversité|Adaptation,https://boussole-te.beta.gouv.fr
9,BHNS Métrobus Nord,Transport en commun,Enquête publique,295 000 hab.,28 M€,Châlons-Métropole,Urbain,"Ligne de bus à haut niveau de service (10 bus électriques articulés 24 m, 6,5 km en site propre intégral) reliant le campus universitaire, le centre-ville et la zone commerciale Nord. Objectif : doubler la fréquentation (12 000 vers 25 000 voyageurs/jour), part TC de 22 % à 32 %.","Tracé traversant un secteur classé UNESCO (400 m, instruction ABF). Suppression de 90 places de stationnement. Déficit d'exploitation supplémentaire 950 k€/an. Fréquence 4 min en heure de pointe.",Fréquentation cible conditionnée à la restriction du stationnement voiture. Instruction ABF = 12 mois supplémentaires.,Atténuation|Pollution|Adaptation,https://boussole-te.beta.gouv.fr
10,Zone d'activités Inno'Valley,Développement économique,Conception,45 000 hab.,"8,5 M€",Intercommunalité Falaises-Océanes,Littorale,"Zone d'activités éco-exemplaire de 25 ha (industrie légère, logistique verte, numérique) à Falcamp, 1,5 km du littoral atlantique. 30 % d'autoconsommation EnR, boucle éco-circulaire inter-entreprises. Entreprises confirmées : recycleur plastiques (85 emplois), data center (25 emplois).","Altitude +8 m, risque submersion marine estimé +60 cm à 2100. Surélévation rez-de-chaussée +0,8 m prévue. 450 emplois directs à 5 ans. Compensation artificialisation 25 ha par renaturation 50 ha identifiés.",Renaturation conditionnée à l'acquisition foncière non finalisée. Données submersion à affiner (étude Cerema commandée).,Adaptation|Économie circulaire|Biodiversité,https://boussole-te.beta.gouv.fr
